City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,khash,28.2211,61.2158,80.44,45,76,11.52,IR,1687801283
420,hulyaypole,47.6653,36.2578,65.97,86,83,4.68,UA,1687801283
421,huicheng,23.0385,116.2899,77.5,93,89,1.97,CN,1687801283
422,samarai,-10.6167,150.6667,79.36,72,91,15.59,PG,1687801283
423,hue,16.4667,107.6,82.51,78,40,3.44,VN,1687801284
424,albury,-36.0833,146.9167,48.02,100,100,3.53,AU,1687801243
425,prince rupert,54.3161,-130.3201,62.69,80,0,4.61,CA,1687801284
426,jumla,29.2747,82.1838,61.86,92,69,1.03,NP,1687801143
427,vao,-22.6667,167.4833,68.25,62,30,15.82,NC,1687801284
428,skjervoy,70.0311,20.9714,59.0,89,0,12.48,NO,1687801285
429,petropavlovsk-kamchatskiy,53.0452,158.6483,48.79,100,0,2.24,RU,1687801285
430,pescantina,45.4837,10.8685,91.62,29,0,3.44,IT,1687801285
431,dubrovnik,42.6481,18.0922,78.44,69,20,4.61,HR,1687801285
432,olafsvik,64.8945,-23.7142,52.16,80,58,6.91,IS,1687801285
433,mogadishu,2.0371,45.3438,77.02,83,20,16.26,SO,1687801156
434,pecos,31.4229,-103.4932,104.09,13,0,0.0,US,1687801286
435,lata,40.1629,-8.3327,80.92,42,1,7.87,PT,1687801286
436,thongwa,16.7619,96.5278,78.96,90,100,2.26,MM,1687801286
437,sinnamary,5.3833,-52.95,81.07,80,17,12.59,GF,1687801286
438,otane,-39.8833,176.6333,50.02,96,92,1.74,NZ,1687801287
439,namatanai,-3.6667,152.4333,79.32,84,100,10.87,PG,1687801287
440,vanimo,-2.6741,141.3028,75.52,91,100,3.38,PG,1687801287
441,novikovo,51.1537,37.8879,55.83,91,100,13.76,RU,1687801287
442,itaqui,-29.1253,-56.5531,78.58,62,75,13.15,BR,1687801288
443,pakhtakoron,40.1571,68.7466,76.23,26,60,2.68,TJ,1687801288
444,iwata,34.7,137.85,74.01,92,100,3.0,JP,1687801288
445,saryg-sep,51.5,95.6,49.15,63,100,4.79,RU,1687801288
446,ancud,-41.8697,-73.8203,49.75,83,93,13.62,CL,1687801289
447,ereymentau,51.6199,73.1033,63.36,58,100,22.17,KZ,1687801289
448,morgantown,39.6295,-79.9559,81.45,60,65,8.95,US,1687801256
449,puerto leguizamo,-0.1934,-74.7819,80.78,86,70,2.89,CO,1687801289
450,port jervis,41.3751,-74.6927,76.82,95,100,10.22,US,1687801201
451,bang krathum,16.5783,100.3003,75.96,95,100,1.86,TH,1687801290
452,broome,42.2506,-75.833,80.2,63,20,10.0,US,1687801290
453,westport,41.1415,-73.3579,80.82,78,100,5.01,US,1687801098
454,caravelas,-17.7125,-39.2481,78.03,61,85,7.2,BR,1687801290
455,joshimath,30.5667,79.5667,71.31,94,99,4.65,IN,1687801291
456,alghero,40.5589,8.3181,78.89,78,20,12.66,IT,1687801291
457,praya,14.9215,-23.5087,84.74,51,20,12.66,CV,1687801274
458,kushima,31.4583,131.2333,73.24,98,99,1.92,JP,1687801291
459,farmington,36.7281,-108.2187,89.78,17,0,4.61,US,1687801292
460,beloha,-25.1667,45.05,61.97,78,0,3.65,MG,1687801292
461,morehead,37.2711,-87.1764,83.86,57,0,6.91,US,1687801062
462,gao,16.6362,1.637,97.5,29,22,2.15,ML,1687801292
463,manokwari,-0.8667,134.0833,79.29,79,68,5.08,ID,1687801292
464,annecy-le-vieux,45.9197,6.1439,81.48,47,20,10.36,FR,1687801293
465,mugur-aksy,50.35,90.5,32.16,88,11,4.9,RU,1687801293
466,nelson bay,-32.7167,152.15,55.0,73,2,8.99,AU,1687801293
467,cookeville,36.1628,-85.5016,82.65,68,20,8.05,US,1687801293
468,hofn,64.2539,-15.2082,57.22,77,20,11.5,IS,1687801294
469,poum,-20.2333,164.0167,69.67,58,22,11.59,NC,1687801294
470,yanam,16.7333,82.2167,79.2,85,100,4.36,IN,1687801294
471,oneonta,42.4529,-75.0638,77.29,67,100,13.56,US,1687801294
472,russell,32.3502,-85.1999,88.88,58,0,5.75,US,1687801294
473,ouesso,1.6136,16.0517,72.09,98,99,2.91,CG,1687801295
474,ilovlya,49.3033,43.9796,67.64,50,100,10.27,RU,1687801295
475,madoc,44.5084,-77.4745,79.52,71,100,6.35,CA,1687801295
476,khoy,38.5504,44.9535,76.05,38,24,0.96,IR,1687801295
477,the valley,18.217,-63.0578,89.46,74,20,12.66,AI,1687801023
478,bodden town,19.2833,-81.25,89.6,62,40,12.66,KY,1687801296
479,zhangye,38.9342,100.4517,73.51,37,50,2.95,CN,1687801296
480,alto piquiri,-24.0281,-53.4406,75.31,51,0,10.49,BR,1687801296
481,santa maria,-29.6842,-53.8069,83.5,51,0,13.8,BR,1687801026
482,vostok,46.4856,135.8833,62.8,90,95,3.85,RU,1687801296
483,hervey bay,-25.2986,152.8535,62.51,41,99,10.29,AU,1687801297
484,gravdal,68.1214,13.5031,66.09,63,0,13.8,NO,1687801297
485,zhuanghe,39.7008,122.9911,65.91,88,99,8.08,CN,1687801297
